No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
1," رقم الحديث: 1   (حديث مرفوع)    فقال : فيما أخبر  أبو الفضل محمد بن طاهر بن علي المقدسي   ، رضي الله عنه ، قال : أخبرنا  علي بن أحمد بن البندار   ، قال : حدثنا  أبو طاهر محمد بن العباس المخلص   ، قال : حدثنا  عبد الله بن محمد بن عبد العزيز البغوي   ، قال : حدثنا  أبو خيثمة زهير بن حرب   ، قال : حدثنا  إسماعيل بن إبراهيم   ، عن  عبد العزيز بن صهيب   ،  عن  أنس   ، عن النبي صلى الله عليه وسلم ، قال :  "" من كذب علي متعمدا فليتبوأ مقعده من النار ""  .         هذا حديث صحيح ، أخرجه الإمام أبو الحسين مسلم بن الحجاج النيسابوري في صحيحه ، عن أبي خيثمة زهير بن حرب هكذا .

","فقال : فيما أخبر  أبو الفضل محمد بن طاهر بن علي المقدسي   ، رضي الله عنه ، قال : أخبرنا  علي بن أحمد بن البندار   ، قال : حدثنا  أبو طاهر محمد بن العباس المخلص   ، قال : حدثنا  عبد الله بن محمد بن عبد العزيز البغوي   ، قال : حدثنا  أبو خيثمة زهير بن حرب   ، قال : حدثنا  إسماعيل بن إبراهيم   ، عن  عبد العزيز بن صهيب   ،  عن  أنس   ، عن النبي صلى الله عليه وسلم ، قال :فقال : فيما أخبر  أبو الفضل محمد بن طاهر بن علي المقدسي   ، رضي الله عنه ، قال : أخبرنا  علي بن أحمد بن البندار   ، قال : حدثنا  أبو طاهر محمد بن العباس المخلص   ، قال : حدثنا  عبد الله بن محمد بن عبد العزيز البغوي   ، قال : حدثنا  أبو خيثمة زهير بن حرب   ، قال : حدثنا  إسماعيل بن إبراهيم   ، عن  عبد العزيز بن صهيب   ،  عن  أنس   ، عن النبي صلى الله عليه وسلم ، قال :"," من كذب علي متعمدا فليتبوأ مقعده من النار ""","أخرجه الإمام أبو الحسين مسلم بن الحجاج النيسابوري في صحيحه ، عن أبي خيثمة زهير بن حرب هكذا",صحيح,authentic,لايوجد
2," رقم الحديث: 2   (حديث مرفوع)    أخبرنا  أبو الفرج بن نجير البصري  الفقيه ، رضي الله عنه ، قال : حدثنا     بن علي الهاشمي   ، قال : حدثنا  أبو طاهر المخلص   ، قال : حدثنا  عبد الله بن محمد البغوي   ، قال : حدثنا  علي بن الجعد   ، قال : حدثنا  شعبة   ، عن  منصور   ، عن  ربعي بن حراش   ،  عن  علي   ، قال : سمعت رسول الله صلى الله عليه وسلم ، يقول :  "" لا تكذبوا علي فإنه من يكذب علي يلج النار ""  . هذا حديث صحيح ، أخرجه الإمام أبو عبد الله محمد بن إسماعيل البخاري في صحيحه ، عن علي بن الجعد هكذا .

","أخبرنا  أبو الفرج بن نجير البصري  الفقيه ، رضي الله عنه ، قال : حدثنا     بن علي الهاشمي   ، قال : حدثنا  أبو طاهر المخلص   ، قال : حدثنا  عبد الله بن محمد البغوي   ، قال : حدثنا  علي بن الجعد   ، قال : حدثنا  شعبة   ، عن  منصور   ، عن  ربعي بن حراش   ،  عن  علي   ، قال : سمعت رسول الله صلى الله عليه وسلم ، يقول :"," لا تكذبوا علي فإنه من يكذب علي يلج النار ""","أخرجه الإمام أبو عبد الله محمد بن إسماعيل البخاري في صحيحه ، عن علي بن الجعد هكذا",صحيح,authentic,لايوجد
3," رقم الحديث: 3   (حديث مرفوع)    أخبرنا  أبو طاهر بن أحمد بن الحسين بن الفضل الحافظ الروذراوري  ، رضي الله عنه ، أخبرنا  أبو بكر أحمد بن علي بن عمر بن عبد الله بن خلف   ، حدثنا  أبو عبد الله محمد بن عبد الله الحافظ ،   حدثنا  أبو العباس محمد بن يعقوب الأصم   ، أخبرنا  العباس بن الوليد بن مزيد البيروتي   ، أخبرنا  أبي   ، أخبرنا  الأوزاعي   ، حدثني  حسان بن عطية   ، عن  أبي كبشة   ،  عن  عبد الله بن عمرو   ، أن رسول الله صلى الله عليه وسلم ، قال :  "" بلغوا عني ولو آية ، وحدثوا عن بني إسرائيل ولا حرج ، وحدثوا عني ولا تكذبوا ، فمن كذب علي متعمدا فليتبوأ مقعده من النار ""  . فارتكب هذه الكبيرة جماعة منهم : محمد بن السائب الكلبي         وعمرو بن عبيد المعتزلي ووهب بن وهب القاضي ومحمد بن سعيد الشامي المصلوب في الزندقة وأبو داود سليمان بن عمرو النخعي        وإسحاق بن نجيح الملطي وأحمد بن الحسن بن أبان المصري وغياث بن إبراهيم النخعي والمغيرة بن سعيد الكوفي         وأحمد بن عبد الله الجويباري ومأمون بن أحمد الهروي السلمي ومحمد بن عكاشة الكرماني ومحمد بن القاسم الطايكاني وغيرهم ممن يطول ذكرهم في هذا الموضع ، فهؤلاء كلهم كذابون وضاعون ، لا يجوز قبول خبرهم ، ولا الاحتجاج بحديثهم ، ويجب على الحفاظ بيان أمورهم ، وإظهار أحوالهم وأديانهم ، وليترك حديثهم ، ولا يكون ذلك غيبة .

"," أخبرنا  أبو طاهر بن أحمد بن الحسين بن الفضل الحافظ الروذراوري  ، رضي الله عنه ، أخبرنا  أبو بكر أحمد بن علي بن عمر بن عبد الله بن خلف   ، حدثنا  أبو عبد الله محمد بن عبد الله الحافظ ،   حدثنا  أبو العباس محمد بن يعقوب الأصم   ، أخبرنا  العباس بن الوليد بن مزيد البيروتي   ، أخبرنا  أبي   ، أخبرنا  الأوزاعي   ، حدثني  حسان بن عطية   ، عن  أبي كبشة   ،  عن  عبد الله بن عمرو   ، أن رسول الله صلى الله عليه وسلم ، قال :"," بلغوا عني ولو آية ، وحدثوا عن بني إسرائيل ولا حرج ، وحدثوا عني ولا تكذبوا ، فمن كذب علي متعمدا فليتبوأ مقعده من النار ""","فارتكب هذه الكبيرة جماعة منهم : محمد بن السائب الكلبي         وعمرو بن عبيد المعتزلي ووهب بن وهب القاضي ومحمد بن سعيد الشامي المصلوب في الزندقة وأبو داود سليمان بن عمرو النخعي        وإسحاق بن نجيح الملطي وأحمد بن الحسن بن أبان المصري وغياث بن إبراهيم النخعي والمغيرة بن سعيد الكوفي         وأحمد بن عبد الله الجويباري ومأمون بن أحمد الهروي السلمي ومحمد بن عكاشة الكرماني ومحمد بن القاسم الطايكاني وغيرهم ممن يطول ذكرهم في هذا الموضع ، فهؤلاء كلهم كذابون وضاعون ، لا يجوز قبول خبرهم ، ولا الاحتجاج بحديثهم ، ويجب على الحفاظ بيان أمورهم ، وإظهار أحوالهم وأديانهم ، وليترك حديثهم ، ولا يكون ذلك غيبة .",مرفوع,unknown,لايوجد
4," رقم الحديث: 4   (حديث مرفوع)    فقد أخبرنا  حمزة بن أحمد بن الحسين   ، أخبرنا  أحمد بن علي بن عمر   ، قال : حدثنا  محمد بن عبد الله الحافظ   ، قال : حدثنا  محمد بن يعقوب بن يوسف   ، أخبرنا  أبو يحيى زكريا بن يحيى   ، أخبرنا  سفيان بن عيينة   ، عن  الزهري   ، عن  عروة   ،  عن  عائشة   رضي الله عنها ، أنها قالت : أقبل رجل ، فلما رآه رسول الله صلى الله عليه وسلم ، قال : "" بئس أخو العشيرة "" ، فلما جاء وجلس ، كلمه وانبسط إليه وجلس ، فقالت عائشة : إنك قلت ما قلت ، فلما دخل البيت ألنت له القول ، فقال : "" يا عائشة ،  إن شر الناس منزلة عند الله تعالى يوم القيامة من تركه الناس اتقاء فحشه ""  . هذا حديث صحيح ، وفيه الدلالة على أن الإخبار عما في الرجل على الديانة ليس من الغيبة .

","   فقد أخبرنا  حمزة بن أحمد بن الحسين   ، أخبرنا  أحمد بن علي بن عمر   ، قال : حدثنا  محمد بن عبد الله الحافظ   ، قال : حدثنا  محمد بن يعقوب بن يوسف   ، أخبرنا  أبو يحيى زكريا بن يحيى   ، أخبرنا  سفيان بن عيينة   ، عن  الزهري   ، عن  عروة   ،  عن  عائشة   رضي الله عنها ، أنها قالت"," أقبل رجل ، فلما رآه رسول الله صلى الله عليه وسلم ، قال : "" بئس أخو العشيرة "" ، فلما جاء وجلس ، كلمه وانبسط إليه وجلس ، فقالت عائشة : إنك قلت ما قلت ، فلما دخل البيت ألنت له القول ، فقال : "" يا عائشة ،  إن شر الناس منزلة عند الله تعالى يوم القيامة من تركه الناس اتقاء فحشه", وفيه الدلالة على أن الإخبار عما في الرجل على الديانة ليس من الغيبة,صحيح,authentic,لايوجد
5," رقم الحديث: 5   (حديث مقطوع)    أخبرنا  محمد بن علي بن محمد بن المغرم  رضي الله عنه ، أخبرنا  ابن محمد بن يحيى بن بندار  ، أخبرنا  أحمد بن علي بن لال  ، حدثنا  عثمان بن أحمد الدقاق  ، قال : حدثنا  حنبل بن إسحاق  ، حدثني  أبو عبد الله يعني أحمد بن حنبل  ، قال : حدثنا  عفان  ، قال : قال  يحيى بن سعيد  :  سألت  شعبة  ،  وسفيان بن سعيد  ،  وسفيان بن عيينة  ،  ومالك بن أنس  عن  الرجل لا يحفظ أو يتهم في الحديث ؟ فقالوا : بين أمره ""  .

"," أخبرنا  محمد بن علي بن محمد بن المغرم  رضي الله عنه ، أخبرنا  ابن محمد بن يحيى بن بندار  ، أخبرنا  أحمد بن علي بن لال  ، حدثنا  عثمان بن أحمد الدقاق  ، قال : حدثنا  حنبل بن إسحاق  ، حدثني  أبو عبد الله يعني أحمد بن حنبل  ، قال : حدثنا  عفان  ، قال : قال  يحيى بن سعيد  :  سألت  شعبة  ،  وسفيان بن سعيد  ،  وسفيان بن عيينة  ،  ومالك بن أنس",عن  الرجل لا يحفظ أو يتهم في الحديث ؟ فقالوا : بين أمره,,مقطوع,unknown,لايوجد
6," رقم الحديث: 6   (حديث مقطوع)    أخبرني  أبو بكر عبد الله بن الحسين بن أحمد بن جعفر النووي  ، رحمه الله تعالى ، أخبرنا  أبي  ، قال : حدثنا  أبو الحسين بن أحمد بن محمد بن عمر الزاهد  ، قال : حدثنا  محمد بن إسحاق الثقفي  ، قال : حدثنا  أبو قدامة  ، قال : سمعت  ابن مهدي  ، يقول :  مررت مع  سفيان الثوري  برجل ، فقال :  "" كذاب والله ، لولا أنه لا يحل لي أن أسكت لسكت ""  .

"," أخبرني  أبو بكر عبد الله بن الحسين بن أحمد بن جعفر النووي  ، رحمه الله تعالى ، أخبرنا  أبي  ، قال : حدثنا  أبو الحسين بن أحمد بن محمد بن عمر الزاهد  ، قال : حدثنا  محمد بن إسحاق الثقفي  ، قال : حدثنا  أبو قدامة  ، قال : سمعت  ابن مهدي  ، يقول :  مررت مع  سفيان الثوري  برجل ، فقال"," كذاب والله ، لولا أنه لا يحل لي أن أسكت لسكت """,,مقطوع,unknown,لايوجد
7," رقم الحديث: 7   (حديث مقطوع)    أخبرنا  محمد بن أبي علي بن محمد المروزي  ، قال : حدثنا  أبو بكر محمد بن يحيى بن إبراهيم بن محمد  ، قال : حدثنا  أبو عبد الله محمد بن عبد الله  ، قال : حدثنا  أبو العباس الأصم  ، قال : حدثنا  محمد بن عبد الله بن عبد الحكيم  ، قال :  سمعت  الشافعي  ، يقول :  "" إذا علم الرجل من محدث الكذب ، لم يسعه السكوت عليه ، ولا يكون ذلك غيبة ، فإن مثل العلماء كالنقاد ، لا يسع الناقد في دينه أن لا يبين الزيوف من غيرها ""  .

","أخبرنا  محمد بن أبي علي بن محمد المروزي  ، قال : حدثنا  أبو بكر محمد بن يحيى بن إبراهيم بن محمد  ، قال : حدثنا  أبو عبد الله محمد بن عبد الله  ، قال : حدثنا  أبو العباس الأصم  ، قال : حدثنا  محمد بن عبد الله بن عبد الحكيم  ، قال :  سمعت  الشافعي  ، يقول"," إذا علم الرجل من محدث الكذب ، لم يسعه السكوت عليه ، ولا يكون ذلك غيبة ، فإن مثل العلماء كالنقاد ، لا يسع الناقد في دينه أن لا يبين الزيوف من غيرها """,,مقطوع,unknown,لايوجد
8," رقم الحديث: 8   (حديث مقطوع)    أخبرنا  عبد الملك بن علي بن نجير  ، قال : حدثنا  أبو بكر أحمد بن علي بن ثابت الخطيب  ، في كتابه ، أخبرنا  أبو القاسم الأزهري  ، قال : حدثنا  عبيد الله بن عثمان الدقاق  ، قال : حدثنا  محمد بن مخلد  ، قال : سمعت  أحمد بن داود  ، قال : سمعت  أحمد بن سلمة بن عبد الله  ، يقول : سمعت  محمد بن بندار السباك الجرجاني  ، يقول :  قلت  لأحمد بن حنبل  رضي الله عنه : يا أبا عبد الله ، إنه ليشتد علي أن أقول : فلان كذاب ، فلان ضعيف ، فقال لي :  "" إذا سكت أنت ، وسكت أنا ، فمتى يعرف الجاهل الصحيح من السقيم ""  . فظهر بهذا الإجماع الذي ذكرناه أن الطريق إلى معرفة الحديث : الجرح         والتعديل ، ويستحب أن يصنف الكتاب معللا ، فإن العلل أجل أنواع علم الحديث .

"," أخبرنا  عبد الملك بن علي بن نجير  ، قال : حدثنا  أبو بكر أحمد بن علي بن ثابت الخطيب  ، في كتابه ، أخبرنا  أبو القاسم الأزهري  ، قال : حدثنا  عبيد الله بن عثمان الدقاق  ، قال : حدثنا  محمد بن مخلد  ، قال : سمعت  أحمد بن داود  ، قال : سمعت  أحمد بن سلمة بن عبد الله  ، يقول : سمعت  محمد بن بندار السباك الجرجاني  ، يقول :  قلت  لأحمد بن حنبل  رضي الله عنه","يا أبا عبد الله ، إنه ليشتد علي أن أقول : فلان كذاب ، فلان ضعيف ، فقال لي :  "" إذا سكت أنت ، وسكت أنا ، فمتى يعرف الجاهل الصحيح من السقيم ","فظهر بهذا الإجماع الذي ذكرناه أن الطريق إلى معرفة الحديث : الجرح         والتعديل ، ويستحب أن يصنف الكتاب معللا ، فإن العلل أجل أنواع علم الحديث",مقطوع,unknown,لايوجد
9," رقم الحديث: 9   (حديث مقطوع)    فقد أخبرنا  حمزة بن أحمد بن الحسين  ، أخبرنا  أحمد بن علي بن عمر  ، قال : حدثنا  محمد بن عبد الله  ، قال : حدثنا  محمد بن إبراهيم بن إسحاق الهاشمي  ، قال : حدثنا  أحمد بن سلمة بن عبد الله  ، قال : سمعت  أبا قدامة السرخسي  ، يقول :  سمعت  عبد الرحمن بن مهدي  ، يقول : "" لأن  أعرف علة حديث هو عندي أحب إلي من أن أكتب عشرين حديثا ليس عندي ""  .

"," فقد أخبرنا  حمزة بن أحمد بن الحسين  ، أخبرنا  أحمد بن علي بن عمر  ، قال : حدثنا  محمد بن عبد الله  ، قال : حدثنا  محمد بن إبراهيم بن إسحاق الهاشمي  ، قال : حدثنا  أحمد بن سلمة بن عبد الله  ، قال : سمعت  أبا قدامة السرخسي  ، يقول :  سمعت  عبد الرحمن بن مهدي  ، يقول"," لأن  أعرف علة حديث هو عندي أحب إلي من أن أكتب عشرين حديثا ليس عندي """,,مقطوع,unknown,لايوجد
10," رقم الحديث: 10   (حديث مقطوع)    أخبرنا  عبد الملك بن مكي بن بنجير  ، أخبرنا  أحمد بن علي بن ثابت  ، في كتابه ، أخبرنا  محمد بن أحمد بن يعقوب  ، قال : حدثنا  محمد بن نعيم الضبي  ، قال : سمعت  أبا محمد أحمد بن عبد الله المزني  ، قال :  سمعت  أبا بكر محمد بن داود بن علي  ، يقول : سمعت  أبي  ، يقول :  "" من لم يعرف حديث رسول الله صلى الله عليه وسلم بعد سماعه ، ولم يميز بين صحيحه وسقيمه ، فليس بعالم ""  .

"," أخبرنا  عبد الملك بن مكي بن بنجير  ، أخبرنا  أحمد بن علي بن ثابت  ، في كتابه ، أخبرنا  محمد بن أحمد بن يعقوب  ، قال : حدثنا  محمد بن نعيم الضبي  ، قال : سمعت  أبا محمد أحمد بن عبد الله المزني  ، قال :  سمعت  أبا بكر محمد بن داود بن علي  ، يقول : سمعت  أبي  ، يقول"," من لم يعرف حديث رسول الله صلى الله عليه وسلم بعد سماعه ، ولم يميز بين صحيحه وسقيمه ، فليس بعالم """,,مقطوع,unknown,لايوجد
