No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
1,"(الحاكم) (ج) أنبأنا إسماعيل بن محمد الشعراني أخبرت عن محمد بن شجاع الثلجي أخبرني حبان بن هلال عن حماد بن سلمة عن أبي الهزم عن أبي هريرة قال قيل يا رسول اللّه مم ربنا قال من ماء مرور لا من أرض ولا من سماء خلق خيلا فأجراها فعرقت فخلق نفسه موضوع اتهم به محمد بن شجاع ولا يضع مثل هذا مسلم قلت ولا عاقل قال الذهبي في الميزان ابن شجاع هذا كان فقيه العراق في وقته وكان حنفياً صاحب تصانيف وكان من أصحاب بشر المريسي وكان ينتقص الإمامين الشافعي وأحمد، وكان من وصيته التي كتبها عند موته ولا يعطى من ثلثي إلا من قال القرآن مخلوق، وقال ابن عدي كان يضع أحاديث في التشبيه ينسبها إلى أصحاب الحديث فيتهم بذلك منها هذا الحديث وحبان بن هلال ثقة، قال الذهبي هذا الحديث مع كونه أتى من المكذب فهو من وضع الجهمية ليذكروه في معرض الاحتجاج به، على أن نفسه اسم لشيء من مخلوقاته، فكذلك إضافة كلامه إليه من هذا القبيل إضافة ملك بل كلامه بالأولى، قال وعلى كل حال فما يعد مسلم هذا في أحاديث الصفات تعالى اللّه عن ذلك انتهى واللّه أعلم. من ذلك العرق.", أنبأنا إسماعيل بن محمد الشعراني أخبرت عن محمد بن شجاع الثلجي أخبرني حبان بن هلال عن حماد بن سلمة عن أبي الهزم عن أبي هريرة قال, قيل يا رسول اللّه مم ربنا قال من ماء مرور لا من أرض ولا من سماء خلق خيلا فأجراها فعرقت فخلق نفسه,"موضوع اتهم به محمد بن شجاع ولا يضع مثل هذا مسلم قلت ولا عاقل قال الذهبي في الميزان ابن شجاع هذا كان فقيه العراق في وقته وكان حنفياً صاحب تصانيف وكان من أصحاب بشر المريسي وكان ينتقص الإمامين الشافعي وأحمد، وكان من وصيته التي كتبها عند موته ولا يعطى من ثلثي إلا من قال القرآن مخلوق، وقال ابن عدي كان يضع أحاديث في التشبيه ينسبها إلى أصحاب الحديث فيتهم بذلك منها هذا الحديث وحبان بن هلال ثقة، قال الذهبي هذا الحديث مع كونه أتى من المكذب فهو من وضع الجهمية ليذكروه في معرض الاحتجاج به، على أن نفسه اسم لشيء من مخلوقاته، فكذلك إضافة كلامه إليه من هذا القبيل إضافة ملك بل كلامه بالأولى، قال وعلى كل حال فما يعد مسلم هذا في أحاديث الصفات تعالى اللّه عن ذلك انتهى واللّه أعلم.",موضوع,non-authentic,كتاب التوحيد
2,"(الخطيب) أنبأنا علي بن أحمد المحتسب أنبأنا الحسن بن الحسين الهمداني أنبأنا أبو نصر محمد بن هارون النهرواني، حدثنا محمد بن عمر وعبداللّه بن عامر السمرقندي حدثنا قتيبة بن سعيد حدثنا عبداللّه بن لهيعة عن أبي الزبير قال قال رسول اللّه صلى اللّه عليه وسلم من قال القرآن مخلوق فقد كفر لا يصح محمد يكذب ويضع.‏"," أنبأنا علي بن أحمد المحتسب أنبأنا الحسن بن الحسين الهمداني أنبأنا أبو نصر محمد بن هارون النهرواني، حدثنا محمد بن عمر وعبداللّه بن عامر السمرقندي حدثنا قتيبة بن سعيد حدثنا عبداللّه بن لهيعة عن أبي الزبير قال قال رسول اللّه صلى اللّه عليه وسلم",من قال القرآن مخلوق فقد كفر,لا يصح محمد يكذب ويضع,لا يصح,non-authentic,كتاب التوحيد
3,"(الخطيب) أنبأنا محمد بن أحمد بن زرق أنبأنا المسيب بن محمد بن المسيب الارغياني حدثنا أبي حدثنا محمد بن يحيى بن رزين المصيصي حدثنا عثمان بن عامر بن فارس حدثنا كهمس عن الحسن عن أنس مرفوعاً كل ما في السماوات والأرض وما بينهما فهو مخلوق غير اللّه والقرآن، وذلك أنه كلامه منه بدأ وإليه يعود، وسيجيء أقوام من أمتي يقولون القرآن مخلوق فمن قاله منهم فقد كفر باللّه العظيم وطلقت امرأته من ساعته لأنه لا ينبغي للمؤمنة أن تكون تحت كافر إلا أن تكون سبقته بالقول موضوع: آفته محمد بن يحيى بن رزين قال ابن حبان دجال يضع الحديث.‏.", أنبأنا محمد بن أحمد بن زرق أنبأنا المسيب بن محمد بن المسيب الارغياني حدثنا أبي حدثنا محمد بن يحيى بن رزين المصيصي حدثنا عثمان بن عامر بن فارس حدثنا كهمس عن الحسن عن أنس مرفوع,"كل ما في السماوات والأرض وما بينهما فهو مخلوق غير اللّه والقرآن، وذلك أنه كلامه منه بدأ وإليه يعود، وسيجيء أقوام من أمتي يقولون القرآن مخلوق فمن قاله منهم فقد كفر باللّه العظيم وطلقت امرأته من ساعته لأنه لا ينبغي للمؤمنة أن تكون تحت كافر إلا أن تكون سبقته بالقول",موضوع: آفته محمد بن يحيى بن رزين قال ابن حبان دجال يضع الحديث,موضوع,non-authentic,كتاب التوحيد
4,(  ابن عدي) حدثنا أحمد بن محمد بن حرب حدثنا ابن حميد عن جرير عن الأعمش عن أبي صالح عن أبي هريرة مرفوعاً القرآن كلام اللّه لا خالق ولا مخلوق من قال غير ذلك فهو كافر.موضوع: آفته ابن حرب وشيخه أيضاً كذاب وهو محمد بن حميد بن حبان.‏, حدثنا أحمد بن محمد بن حرب حدثنا ابن حميد عن جرير عن الأعمش عن أبي صالح عن أبي هريرة مرفوعاً,القرآن كلام اللّه لا خالق ولا مخلوق من قال غير ذلك فهو كافر,موضوع: آفته ابن حرب وشيخه أيضاً كذاب وهو محمد بن حميد بن حبان.‏,موضوع,non-authentic,كتاب التوحيد
5,"(الخطيب) أنبأنا طلحة بن علي الكتاني حدثنا محمد بن عبداللّه بن إبراهيم الشافعي حدثنا أبو عمارة محمد بن أحمد بن المهدي حدثنا أبو نافع بن كثير حدثنا جعفر بن محمد العابد حدثنا أبو يعقوب الأعمى عن إسماعيل بن يعمر عن محمد بن عبداللّه الدغشي سمعت مجالد بن سعيد يقول سمعت مسروقاً يقول سمعت عبداللّه بن مسعود يقول سمعت رسول اللّه صلى اللّه عليه وسلم يقول القرآن كلام اللّه عز وجل ليس بخالق ولا مخلوق فمن زعم غير ذلك فقد كفر بما أنزل على محمد صلى اللّه عليه وسلم، قال الخطيب منكر جداً فيه مجاهيل وأبو عمارة، قال الدارقطني ضعيف جداً (قلت) قال الذهبي في الميزان هو موضوع على مجالد، انتهى.", أنبأنا طلحة بن علي الكتاني حدثنا محمد بن عبداللّه بن إبراهيم الشافعي حدثنا أبو عمارة محمد بن أحمد بن المهدي حدثنا أبو نافع بن كثير حدثنا جعفر بن محمد العابد حدثنا أبو يعقوب الأعمى عن إسماعيل بن يعمر عن محمد بن عبداللّه الدغشي سمعت مجالد بن سعيد يقول سمعت مسروقاً يقول سمعت عبداللّه بن مسعود يقول سمعت رسول اللّه صلى اللّه عليه وسلم يقول,القرآن كلام اللّه عز وجل ليس بخالق ولا مخلوق فمن زعم غير ذلك فقد كفر بما أنزل على محمد صلى اللّه عليه وسلم," قال الخطيب منكر جداً فيه مجاهيل وأبو عمارة، قال الدارقطني ضعيف جداً (قلت) قال الذهبي في الميزان هو موضوع على مجالد، انتهى",منكر ضعيف موضوع,non-authentic,كتاب التوحيد
6,"وللحديث طرق، قال الديلمي في مسند الفردوس أنبأنا عبدالرحيم بن المرزبان الصيدلاني الرازي اذنا أنبأنا أبو طاهر محمد بن أحمد بن علي بن حمدان حدثنا أبو سعيد عبداللّه بن محمد بن بدر الكرجي البغدادي حدثنا محمد بن محمد بن قنبرة الباراني قدم بغداد حدثنا أبو هاشم عبداللّه بن أبي سفيان الشعراني حدثنا الربيع بن سلمان قال ناظر الشافعي حفصا الفرد وكان حفص من غلمان بشر المريسي فقال في بعض كلامه القرآن مخلوق فقال له الشافعي كفرت باللّه العظيم.",قال الديلمي في مسند الفردوس أنبأنا عبدالرحيم بن المرزبان الصيدلاني الرازي اذنا أنبأنا أبو طاهر محمد بن أحمد بن علي بن حمدان حدثنا أبو سعيد عبداللّه بن محمد بن بدر الكرجي البغدادي حدثنا محمد بن محمد بن قنبرة الباراني قدم بغداد حدثنا أبو هاشم عبداللّه بن أبي سفيان الشعراني حدثنا الربيع بن سلمان قال ناظر الشافعي حفصا الفرد وكان حفص من غلمان بشر المريسي فقال في بعض كلامه, القرآن مخلوق فقال له الشافعي كفرت باللّه العظيم,,,non-authentic,كتاب التوحيد
7_1,"حدثنا عبدالرزاق عن معمر عن الزهري عن أنس قال قال رسول اللّه صلى اللّه عليه وسلم القرآن كلام اللّه غير خالق ولا مخلوق ومن قال مخلوق فاقتلوه فإنه كافر، وقال حدثنا سفيان بن عيينة عن الزهري عن سعيد بن المسيب عن رافع بن خديج وحذيفة بن اليمان وعمران بن حصين قالوا سمعنا رسول اللّه صلى اللّه عليه وسلم يقول القرآن كلام اللّه غير خالق ولا مخلوق فمن قال غير هذا فقد كفر وقال ابن عساكر في تاريخ دمشق أنبأنا أبو الحسن علي بن السلم الفرضي حدثنا عبدالعزيز أحمد الصوفي أنبأنا أبو محمد بن أبي نصر حدثنا محمد بن هرون حدثنا أبو نصر منصور بن إبراهيم بن عبداللّه بن مالك القزويني حدثنا أبو سليمان داود بن سليمان حدثنا الوليد بن مسلم الدمشقي عن الأوزاعي عن يحيى بن أبي كثير عن حسان بن عطية عن أبي الدرداء قال سألت رسول اللّه صلى اللّه عليه وسلم عن القرآن فقال هو كلام اللّه غير مخلوق قال أبو نصر وكان أحمد بن حنبل يقول لأصحاب الحديث اذهبوا إلى أبي سليمان عندنا ثقة مأمون، انتهى.",حدثنا عبدالرزاق عن معمر عن الزهري عن أنس قال قال رسول اللّه صلى اللّه عليه وسلم,القرآن كلام اللّه غير خالق ولا مخلوق ومن قال مخلوق فاقتلوه فإنه كافر,,,non-authentic,كتاب التوحيد
7_2,, وقال حدثنا سفيان بن عيينة عن الزهري عن سعيد بن المسيب عن رافع بن خديج وحذيفة بن اليمان وعمران بن حصين قالوا سمعنا رسول اللّه صلى اللّه عليه وسلم يقول, القرآن كلام اللّه غير خالق ولا مخلوق فمن قال غير هذا فقد كفر,,,non-authentic,كتاب التوحيد
7_3,,وقال ابن عساكر في تاريخ دمشق أنبأنا أبو الحسن علي بن السلم الفرضي حدثنا عبدالعزيز أحمد الصوفي أنبأنا أبو محمد بن أبي نصر حدثنا محمد بن هرون حدثنا أبو نصر منصور بن إبراهيم بن عبداللّه بن مالك القزويني حدثنا أبو سليمان داود بن سليمان حدثنا الوليد بن مسلم الدمشقي عن الأوزاعي عن يحيى بن أبي كثير عن حسان بن عطية عن أبي الدرداء قال سألت رسول اللّه صلى اللّه عليه وسلم عن القرآن فقال, هو كلام اللّه غير مخلوق," قال أبو نصر وكان أحمد بن حنبل يقول لأصحاب الحديث اذهبوا إلى أبي سليمان عندنا ثقة مأمون، انتهى قال الذهبي في الميزان منصور بن إبراهيم القزويني لا شئ سمع منه أبو علي بن هارون بمصر حديثاً باطلاً، قال الحافظ بن حجر في لسانه هو هذا الحديث، انتهى. وقد وجدت له متابعاً، ",,non-authentic,كتاب التوحيد
7_4,, قال الشيرازي في الألقاب أنبأنا أبو إسحاق إبراهيم ابن علي المكتب حدثنا محمد بن الفضل بن عبدالجرجاني حدثنا محمد بن الحارث الخولاني يلقب بورد حدثنا أحمد بن إبراهيم بن إبراهيم النقلبي حدثنا الوليد بن مسلم,," به وأخرجه الخطيب في كتاب المتفق من طريقه. وقال حسان لم يدرك أبا الدرداء وأحمد بن إبراهيم مجهول، انتهى. ووجدت له متابعاً آخر",,non-authentic,كتاب التوحيد
