No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic,
1,"(الخطيب) أنبأنا الحسن بن علي الضميرى حدثنا أحمد بن محمد بن علي الصيرفي حدثنا محمد بن عمر الحافظ حدثنا أبو بكر محمد بن خلف بن حيان القاضي حدثنا إسحاق بن محمد بن أبان النخعي موسى بن عبدالرحمن النخعي عن أبيه قال كنت على باب النخعي ومحمد بن زيد بن علي فقال محمد بن زيد ابن علي حدثني أبي عن أبيه قال قال رسول اللّه صلى اللّه عليه وسلم لا بأس ببول الحمار وكل ما أكل لحمه، موضوع: والمتهم به إسحاق وموسى وابنه مجهولان.‏",الخطيب) أنبأنا الحسن بن علي الضميرى حدثنا أحمد بن محمد بن علي الصيرفي حدثنا محمد بن عمر الحافظ حدثنا أبو بكر محمد بن خلف بن حيان القاضي حدثنا إسحاق بن محمد بن أبان النخعي موسى بن عبدالرحمن النخعي عن أبيه قال كنت على باب النخعي ومحمد بن زيد بن علي فقال محمد بن زيد ابن علي حدثني أبي عن أبيه قال قال رسول اللّه صلى اللّه عليه وسلم, لا بأس ببول الحمار وكل ما أكل لحمه, موضوع: والمتهم به إسحاق وموسى وابنه مجهولان,موضوع,non-authentic,كتاب الطهارة,
2_1,(الجوزفاني) حدثنا أبو الوفاء محمد بن جابان المذكر أنبأنا محمد ابن علي بن زيرك حدثنا عبداللّه بن أحمد بن محمد بن الحسن بن زياد الموصلي حدثنا أبو الليث القاسم بن الليث حدثنا محمد بن المهاجر حدثنا عبدالصمد حدثنا هشام الدستوائي عن فتادة عن أبي أيوب عن عبداللّه بن عمرو قال ماء البحر لا يجزئ من جنابة ولا يتوضأ منه لأن تحت البحر ناراً وتحت النار بحراً حتى عد سبعة أبحر وسبع نيران وبه إلى هشام الدستوائي عن يحيى بن أبي كثير عن رجل عن أبي هريرة قال ماءان لا يجزئان من غسل الجنابة ماء البحر وماء الحمام: قال الجوزقاني باطل تفرد به محمد بن المهاجر وكان يضع الحديث (قلت) لا مدخل لمحمد بن المهجر في واحد من الأثرين فإِنهما مخرجان في المصنف لابن أبي شيبة قال حدثنا أبوداود الطيالسي عن هشام عن قتادة عن أبي أيوب [ص 3] عن عبداللّه بن عمرو قال ماء البحر لا يجزئ من وضوء ولا جنابة إن تحت البحر ناراً ثم ماء ثم ناراً وقال حدثنا بن علية عن هشام الدستوائي عن يحيى بن أبي كثير عن رجل من الأنصار عن أبي هريرة قال ماءان لا يجزئان من غسل الجنابة ماء البحر وماء الحمام. وقال حدثنا وكيع عن شعبة عن قتادة عن عقبة بن صهبان قال: سمعت ابن عمر يقول التيمم أحب إلي من الوضوء من ماء البحر. قال: حدثنا إسحاق بن سليمان عن أبي جعفر عن الربيع بن أنس عن أبي العالية أنه ركب البحر فنفد ماؤهم فتوضأ بنبيذ وكره أن يتوضأ من البحر. وقال عبدالرزاق في المصنف عن معمر عن يحيى بن أبي كثير عن رجل من الأنصار عن عبداللّه بن عمرو ابن العاصي قال ماءان لا ينقيان من الجنابة ماء البحر وماء الحمام. قال البهيقي في سننه أنبأنا أبو عبداللّه الحافظ أنبأنا أبو العباس المحبوبي أنبأنا أبو الموجه حدثنا محمود بن غيلان أنبأنا أبو داود عن شعبة وهمام عن قتادة عن أبي أيوب عن عبداللّه ابن عمرو أنه قال ماء البحر لا يجزئ من وضوء ولا من جنابة إِن تحت البحر ناراً ثم ماء ثم ناراً حتى عد سبعة أبحر وسبعة أنيار. وقال الديامي أنبأنا أبي وحمد ابن نصر قالا أنبأنا أبو الفرج البجلي حدثنا أبو بكر بن لال حدثنا عبدالرحمن بن حدان الجلاب حدثنا أبو حاتم الرازي حدثنا سعيد عن إِسماعيل بن زكريا عن مطرف عن بشير بن مسلم عن عبداللّه بن عمرو قال قال رسول اللّه صلى اللّه عليه وسلم تحت البحر ناراً وتحت النار بحر وتحت البحر نار بشير بن مسلم روى له أبو داود وقال الذهبي تابعي لا يعرف واللّه أعلم.‏,الجوزفاني) حدثنا أبو الوفاء محمد بن جابان المذكر أنبأنا محمد ابن علي بن زيرك حدثنا عبداللّه بن أحمد بن محمد بن الحسن بن زياد الموصلي حدثنا أبو الليث القاسم بن الليث حدثنا محمد بن المهاجر حدثنا عبدالصمد حدثنا هشام الدستوائي عن فتادة عن أبي أيوب عن عبداللّه بن عمرو قال,ماء البحر لا يجزئ من جنابة ولا يتوضأ منه لأن تحت البحر ناراً وتحت النار بحراً حتى عد سبعة أبحر وسبع نيران,,,non-authentic,كتاب الطهارة,
2_3,, هشام الدستوائي عن يحيى بن أبي كثير عن رجل عن أبي هريرة قال,ماءان لا يجزئان من غسل الجنابة ماء البحر وماء الحمام,قال الجوزقاني باطل تفرد به محمد بن المهاجر وكان يضع الحديث (قلت) لا مدخل لمحمد بن المهجر في واحد من الأثرين فإِنهما مخرجان في المصنف لابن أبي شيبة,باطل,non-authentic,كتاب الطهارة,
2_4,, قال حدثنا أبوداود الطيالسي عن هشام عن قتادة عن أبي أيوب [ص 3] عن عبداللّه بن عمرو قال,ماء البحر لا يجزئ من وضوء ولا جنابة إن تحت البحر ناراً ثم ماء ثم نارا,,,non-authentic,كتاب الطهارة,
2_5,,وقال حدثنا بن علية عن هشام الدستوائي عن يحيى بن أبي كثير عن رجل من الأنصار عن أبي هريرة قال, ماءان لا يجزئان من غسل الجنابة ماء البحر وماء الحمام,,,non-authentic,كتاب الطهارة,
2_6,, وقال حدثنا وكيع عن شعبة عن قتادة عن عقبة بن صهبان قال: سمعت ابن عمر يقول, التيمم أحب إلي من الوضوء من ماء البحر,,,non-authentic,كتاب الطهارة,
2_7,,قال: حدثنا إسحاق بن سليمان عن أبي جعفر عن الربيع بن أنس عن أبي العالية,أنه ركب البحر فنفد ماؤهم فتوضأ بنبيذ وكره أن يتوضأ من البحر,,,non-authentic,كتاب الطهارة,
2_8,,وقال عبدالرزاق في المصنف عن معمر عن يحيى بن أبي كثير عن رجل من الأنصار عن عبداللّه بن عمرو ابن العاصي قال,ماءان لا ينقيان من الجنابة ماء البحر وماء الحمام,,,non-authentic,كتاب الطهارة,
2_9,, قال البهيقي في سننه أنبأنا أبو عبداللّه الحافظ أنبأنا أبو العباس المحبوبي أنبأنا أبو الموجه حدثنا محمود بن غيلان أنبأنا أبو داود عن شعبة وهمام عن قتادة عن أبي أيوب عن عبداللّه ابن عمرو أنه قال,ماء البحر لا يجزئ من وضوء ولا من جنابة إِن تحت البحر ناراً ثم ماء ثم ناراً حتى عد سبعة أبحر وسبعة أنيار,,,non-authentic,كتاب الطهارة,
2_10,, وقال الديامي أنبأنا أبي وحمد ابن نصر قالا أنبأنا أبو الفرج البجلي حدثنا أبو بكر بن لال حدثنا عبدالرحمن بن حدان الجلاب حدثنا أبو حاتم الرازي حدثنا سعيد عن إِسماعيل بن زكريا عن مطرف عن بشير بن مسلم عن عبداللّه بن عمرو قال قال رسول اللّه صلى اللّه عليه وسلم, تحت البحر ناراً وتحت النار بحر وتحت البحر نار, بشير بن مسلم روى له أبو داود وقال الذهبي تابعي لا يعرف واللّه أعلم.,,non-authentic,كتاب الطهارة,
3,(الخطيب) أخبرني جعفر بن محمد الشروطي أنبأنا أحمد بن جعفر بن محمد الخلال حدثنا أبو محمد بن صالح بن نصر الترمذي حدثنا القاسم بن عباد الترمذي حدثنا ابن عبداللّه الترمذي عن أبي عامر عن نوح ابن أبي مريم عن يزيد الهاشمي عن الزهري عن أبي سلمة عن أبي هريرة قال:قال رسول اللّه صلى اللّه عليه وسلم الدم مقدار الدرهم يغسل وتعاد منه الصلاة: نوح كذاب.‏,الخطيب) أخبرني جعفر بن محمد الشروطي أنبأنا أحمد بن جعفر بن محمد الخلال حدثنا أبو محمد بن صالح بن نصر الترمذي حدثنا القاسم بن عباد الترمذي حدثنا ابن عبداللّه الترمذي عن أبي عامر عن نوح ابن أبي مريم عن يزيد الهاشمي عن الزهري عن أبي سلمة عن أبي هريرة قال:قال رسول اللّه صلى اللّه عليه وسلم, الدم مقدار الدرهم يغسل وتعاد منه الصلاة,نوح كذاب.,,non-authentic,كتاب الطهارة,
4,(العقيلي) حدثنا روح بن الفرج حدثنا يوسف بن عدي حدثنا القاسم بن مالك [ص 4] عن روح بن عطيف عن الزهري عن أبي سلمة عن أبي هريرة رفعه قال تعاد الصلاة من قدر الدرهم من الدم. قال العقيلي حدثني آدم قال سمعت البخاري يقول هذا الحديث باطل وروح هذا منكر الحديث.‏,العقيلي) حدثنا روح بن الفرج حدثنا يوسف بن عدي حدثنا القاسم بن مالك [ص 4] عن روح بن عطيف عن الزهري عن أبي سلمة عن أبي هريرة رفعه قال, تعاد الصلاة من قدر الدرهم من الدم, قال العقيلي حدثني آدم قال سمعت البخاري يقول هذا الحديث باطل وروح هذا منكر الحديث.,باطل,non-authentic,كتاب الطهارة,
