No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic,
1,"1- ( 66 ) عن أبي يعلى شداد بن أوس رضي الله عنه عن النبي صلى الله عليه وسلم قال : "" الكيس من دان نفسه وعمل لما بعد الموت والعاجز من اتبع نفسه هواها وتمنى على الله الأماني "" رواه الترمذي وقال حديث حسن . ( ضعيف ) .[ فيه : أبو بكر بن عبد الله بن أبي مريم الغساني ، وهو ضعيف مختلط ] .",عن أبي يعلى شداد بن أوس رضي الله عنه عن النبي صلى الله عليه وسلم قال, الكيس من دان نفسه وعمل لما بعد الموت والعاجز من اتبع نفسه هواها وتمنى على الله الأماني ," رواه الترمذي وقال حديث حسن . ( ضعيف ) .[ فيه : أبو بكر بن عبد الله بن أبي مريم الغساني ، وهو ضعيف مختلط ] .",ضعيف,non-authentic,باب المراقبة,
2,"2- ( 69 ) عن عمر رضي الله عن النبي صلى الله عليه وسلم قال : "" لا يسأل الرجل فيم ضرب امرأته "" رواه أبو داود وغيره . ( ضعيف ) .[ فيه : داود بن يزيد الأودي وهو ضعيف ، وعبد الرحمن المسلي وهو مجهول ] .",عن عمر رضي الله عن النبي صلى الله عليه وسلم قال, لا يسأل الرجل فيم ضرب امرأته," رواه أبو داود وغيره . ( ضعيف ) .[ فيه : داود بن يزيد الأودي وهو ضعيف ، وعبد الرحمن المسلي وهو مجهول",ضعيف,non-authentic,باب المراقبة,
3,"3- ( 93 ) عن أبي هريرة رضي الله عنه أن رسول الله صلى الله عليه وسلم قال : "" بادروا بالأعمال سبعا هل تنتظرون إلا فقرا منسيا أو غنى مطغيا أو مرضا مفسدا أو هرما مفندا أو موتا مجهزا أو الدجال فشر غائب ينتظر أو الساعة فالساعة أدهى وأمر "" رواه الترمذي وقال : حديث حسن . ( ضعيف جدّاً ) . [ فيه : محرر بن هاورن ، وهو متروك الحديث ] . ",عن أبي هريرة رضي الله عنه أن رسول الله صلى الله عليه وسلم قال, بادروا بالأعمال سبعا هل تنتظرون إلا فقرا منسيا أو غنى مطغيا أو مرضا مفسدا أو هرما مفندا أو موتا مجهزا أو الدجال فشر غائب ينتظر أو الساعة فالساعة أدهى وأمر ," رواه الترمذي وقال : حديث حسن . ( ضعيف جدّاً ) . [ فيه : محرر بن هاورن ، وهو متروك الحديث", ضعيف جدّاً,non-authentic,"باب المبادرة إلى الخيرات ، وحث من توجه لخير على الإقبال عليه بالجد من غير تردد",
4_1,"4- ( 200 ) عن ابن مسعود رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" إن أول ما دخل النقص في بني إسرائيل أنه كان الرجل يلقى الرجل فيقول : يا هذا اتق الله ودع ما تصنع فإنه لا يحل لك ثم يلقاه من الغد وهو على حاله فلا يمنعه ذلك من أن يكون أكيله وشريبه وقعيده فلما فعلوا ذلك ضرب الله قلوب بعضهم ببعض "" ثم قال : { لعن الذين كفروا من بني إسرائيل على لسنا داود وعيسى ابن مريم ذلك بما عصوا وكانوا يعتدون ن كانوا لا يتناهون عن منكر فعلوه لبئس ما كانوا يفعلون ترى كثرا منهم يتولون الذين كفروا لبئس ما قدمت لهم أنفسهم } إلى قوله { فاسقون } [ المائدة - ] ثم قال : "" كلا والله لتأمرن بالمعروف ولتنهون عن المنكر ولتأخذن على يد الظالم ولتأطرنه على الحق أطرا ولتقصرنه على الحق قصرا أو ليضرين الله بقلوب بعضكم على بعض ثم ليلعنكم كما لعنهم "" رواه أبو داود والترمذي وقال : حديث حسن . هذا لفظ أبي داود ولفظ الترمذي قال رسول الله صلى الله عليه وسلم : "" لما وقعت بنو إسرائيل في المعاصي نهتهم علماؤهم فلم ينتهوا فجالسوهم في مجالسهم وواكلوهم وشاربوهم فضرب الله قلوب بعضهم ببعض ولعنهم على لسان داود وعيسى ابن مريم ذلك بما عصوا وكانوا يعتدون "" فجلس رسول الله صلى الله عليه وسلم وكان متكئا فقال : "" لا والذي نفسي بيده حتى تأطروهم على الحق أطرا "" . قوله "" تأطروهم "" : أي تعطفوهم . "" ولتقصرونه "" : أي لتحبسنه . ( ضعيف ) . [ مداره على أبي عبيدة بن عبد الله بن مسعود ولم يسمع من أبيه ] . ",عن ابن مسعود رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم," إن أول ما دخل النقص في بني إسرائيل أنه كان الرجل يلقى الرجل فيقول : يا هذا اتق الله ودع ما تصنع فإنه لا يحل لك ثم يلقاه من الغد وهو على حاله فلا يمنعه ذلك من أن يكون أكيله وشريبه وقعيده فلما فعلوا ذلك ضرب الله قلوب بعضهم ببعض "" ثم قال : { لعن الذين كفروا من بني إسرائيل على لسنا داود وعيسى ابن مريم ذلك بما عصوا وكانوا يعتدون ن كانوا لا يتناهون عن منكر فعلوه لبئس ما كانوا يفعلون ترى كثرا منهم يتولون الذين كفروا لبئس ما قدمت لهم أنفسهم } إلى قوله { فاسقون } [ المائدة - ] ثم قال : "" كلا والله لتأمرن بالمعروف ولتنهون عن المنكر ولتأخذن على يد الظالم ولتأطرنه على الحق أطرا ولتقصرنه على الحق قصرا أو ليضرين الله بقلوب بعضكم على بعض ثم ليلعنكم كما لعنهم """, رواه أبو داود والترمذي وقال : حديث حسن . هذا لفظ أبي داود ولفظ الترمذي ,,non-authentic,باب الأمر بأداء الأمانة,
4_2,, قال رسول الله صلى الله عليه وسلم," لما وقعت بنو إسرائيل في المعاصي نهتهم علماؤهم فلم ينتهوا فجالسوهم في مجالسهم وواكلوهم وشاربوهم فضرب الله قلوب بعضهم ببعض ولعنهم على لسان داود وعيسى ابن مريم ذلك بما عصوا وكانوا يعتدون "" فجلس رسول الله صلى الله عليه وسلم وكان متكئا فقال : "" لا والذي نفسي بيده حتى تأطروهم على الحق أطرا "" . قوله "" تأطروهم "" : أي تعطفوهم . "" ولتقصرونه "" : أي لتحبسنه ",. ( ضعيف ) . [ مداره على أبي عبيدة بن عبد الله بن مسعود ولم يسمع من أبيه,ضعيف,non-authentic,باب الأمر بأداء الأمانة,
5,"5- ( 286 ) عن أم سلمة رضي الله عنه قالت : قال رسول الله صلى الله عليه وسلم : "" أيما امرأة ماتت وزوجها عنها راض دخلت الجنة "" رواه الترمذي وقال : حديث حسن . ( ضعيف ) . [ وفي سنده مجهولان : مساور الحميري وأمه ] .",عن أم سلمة رضي الله عنه قالت : قال رسول الله صلى الله عليه وسلم, أيما امرأة ماتت وزوجها عنها راض دخلت الجنة, رواه الترمذي وقال : حديث حسن . ( ضعيف ) . [ وفي سنده مجهولان : مساور الحميري وأمه,ضعيف,non-authentic,باب حق الزوج على المرأة,
6,"6- ( 356 ) عن ميمون بن أبي شبيب رحمه الله أن عائشة رضي الله عنها مر بها سائل فأعطته كسرة ومر بها رجل عليه ثياب وهيئة فأقعدته فأكل فقيل لها في ذلك ؟ فقالت : قال رسول الله صلى الله عليه وسلم : "" أنزلوا الناس منازلهم "" رواه أبو داود ، لكن قال : ميمون لم يدرك عائشة . وقد ذكره مسلم في أول صحيح تعليقا فقالت : وذكر عن عائشة رضي الله عنها قالت : أمرنا رسول الله صلى الله عليه وسلم أن ننزل الناس منازلهم ، وذكر الحاكم أبو عبد الله في كتابه "" معرفة علوم الحديث "" وقال : هو حديث صحيح . [ فيه علتان : الانقطاع ، وتدليس حبيب بن أبي ثابت ] .",عن ميمون بن أبي شبيب رحمه الله أن عائشة رضي الله عنها مر بها سائل فأعطته كسرة ومر بها رجل عليه ثياب وهيئة فأقعدته فأكل فقيل لها في ذلك ؟ فقالت : قال رسول الله صلى الله عليه وسلم, أنزلوا الناس منازلهم," رواه أبو داود ، لكن قال : ميمون لم يدرك عائشة . وقد ذكره مسلم في أول صحيح تعليقا فقالت : وذكر عن عائشة رضي الله عنها قالت : أمرنا رسول الله صلى الله عليه وسلم أن ننزل الناس منازلهم ، وذكر الحاكم أبو عبد الله في كتابه "" معرفة علوم الحديث "" وقال : هو حديث صحيح . [ فيه علتان : الانقطاع ، وتدليس حبيب بن أبي ثابت",,non-authentic,باب توقير العلماء والكبار وأهل الفضل,
7,"7- ( 359 ) عن أنس رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" ما أكرم شاب شيخا لسنه إلا قيض الله له من يكرمه عند سنه "" رواه الترمذي وقال : حديث غريب . ( ضعيف ) .[ فيه ضعيفان : يزيد بن بيان العقيلي ، وأبو الرحال الأنصاري ] .",عن أنس رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, ما أكرم شاب شيخا لسنه إلا قيض الله له من يكرمه عند سنه," رواه الترمذي وقال : حديث غريب . ( ضعيف ) .[ فيه ضعيفان : يزيد بن بيان العقيلي ، وأبو الرحال الأنصاري",ضعيف,non-authentic,باب توقير العلماء والكبار وأهل الفضل,
8,"8- ( 373 ) عن عمر بن الخطاب رضي الله عنه قال ك استأذنت النبي صلى الله عليه وسلم في العمرة فأذن لي وقال : "" لا تنسنا يا أخي من دعائك "" فقال كلمة ما يسرني أن لي بها الدنيا . وفي رواية وقال : "" أشركنا يا أخي في دعائك "" . حديث ضعيف رواه أبو داود والترمذي وقال : حديث حسن صحيح . ( ضعيف ) . [ فيه : عاصم بن عبيد الله بن عاصم العدوي ، وهو ضعيف ] .",عن عمر بن الخطاب رضي الله عنه قال ك استأذنت النبي صلى الله عليه وسلم في العمرة فأذن لي وقال," لا تنسنا يا أخي من دعائك "" فقال كلمة ما يسرني أن لي بها الدنيا . وفي رواية وقال : "" أشركنا يا أخي في دعائك",". حديث ضعيف رواه أبو داود والترمذي وقال : حديث حسن صحيح . ( ضعيف ) . [ فيه : عاصم بن عبيد الله بن عاصم العدوي ، وهو ضعيف",ضعيف,non-authentic,باب زيارة أهل الخير ومجالستهم وصحبتهم ومحبتهم,
9,"9- ( 408 ) عن أبي هريرة رضي الله عنه قال : قرأ رسول الله صلى الله عليه وسلم { يومئذ تحدث أخبارها } [ الزلزلة / 4 ] ثم قال : "" أتدرون ما أخبارها ؟ قالوا : الله ورسوله أعلم ، قال : "" فإن أخبارها أن تشهد على كل عبد وأمة بما عمل على ظهرها تقول : عملت كذا وكذا في يوم كذا وكذا فهذه أخبارها "" رواه الترمذي وقال : حديث حسن صحيح . ( ضعيف ) .[ فيه : يحيى بن أبي سليمان المدني ، وهو ضعيف ] .",عن أبي هريرة رضي الله عنه قال : قرأ رسول الله صلى الله عليه وسلم { يومئذ تحدث أخبارها } [ الزلزلة / 4 ] ثم قال," "" أتدرون ما أخبارها ؟ قالوا : الله ورسوله أعلم ، قال : "" فإن أخبارها أن تشهد على كل عبد وأمة بما عمل على ظهرها تقول : عملت كذا وكذا في يوم كذا وكذا فهذه أخبارها"," رواه الترمذي وقال : حديث حسن صحيح . ( ضعيف ) .[ فيه : يحيى بن أبي سليمان المدني ، وهو ضعيف",ضعيف,non-authentic,باب الخوف,
